# Region type : patch Xmax
# Faces         : 120
# Area          : 4.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
100             	6.00000211e-04
200             	6.00000040e-04
300             	6.00000019e-04
400             	6.00000069e-04
500             	6.00000071e-04
600             	6.00000070e-04
700             	6.00000014e-04
800             	5.99999972e-04
900             	5.99999954e-04
1000            	5.99999947e-04
1100            	5.99999953e-04
1200            	5.99999948e-04
1300            	5.99999956e-04
1400            	5.99999970e-04
1500            	5.99999984e-04
1600            	5.99999993e-04
1700            	5.99999988e-04
1800            	5.99999992e-04
1900            	5.99999999e-04
