# Region type : patch Xmin
# Faces         : 120
# Area          : 4.00000000e-03
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
100             	-6.00000000e-04
200             	-6.00000000e-04
300             	-6.00000000e-04
400             	-6.00000000e-04
500             	-6.00000000e-04
600             	-6.00000000e-04
700             	-6.00000000e-04
800             	-6.00000000e-04
900             	-6.00000000e-04
1000            	-6.00000000e-04
1100            	-6.00000000e-04
1200            	-6.00000000e-04
1300            	-6.00000000e-04
1400            	-6.00000000e-04
1500            	-6.00000000e-04
1600            	-6.00000000e-04
1700            	-6.00000000e-04
1800            	-6.00000000e-04
1900            	-6.00000000e-04
