# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	mag(U)        	0.000000e+00	(7.000970e-03 7.139805e-03 5.000000e-03)	2.048118e-01	(1.095845e-04 -1.116184e-02 5.000000e-03)
1             	nu            	1.500000e-04	(7.815126e-03 7.970105e-03 5.000000e-03)	1.500000e-04	(7.815126e-03 7.970105e-03 5.000000e-03)
1             	p             	-9.475324e+00	(1.116184e-02 -1.095845e-04 5.000000e-03)	9.720770e+00	(-1.116184e-02 1.095845e-04 5.000000e-03)
1             	yPlus         	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)
# ===         
# Time        	field         	min           	location(min) 	max           	location(max) 
2             	mag(U)        	0.000000e+00	(7.000970e-03 7.139805e-03 5.000000e-03)	2.107640e-01	(-1.095845e-04 1.116184e-02 5.000000e-03)
2             	mag(force)    	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	1.912144e-05	(-9.999035e-03 9.816850e-05 5.000000e-03)
2             	mag(forceCoeff)	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	8.498419e+00	(-9.999035e-03 9.816850e-05 5.000000e-03)
2             	mag(moment)   	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	9.560721e-08	(-9.999035e-03 9.816850e-05 5.000000e-03)
2             	mag(momentCoeff)	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	2.124600e+02	(-9.999035e-03 9.816850e-05 5.000000e-03)
2             	nu            	1.500000e-04	(7.815126e-03 7.970105e-03 5.000000e-03)	1.500000e-04	(7.815126e-03 7.970105e-03 5.000000e-03)
2             	p             	-1.181546e+00	(1.116184e-02 1.095845e-04 5.000000e-03)	1.268697e+00	(-1.116184e-02 -1.095845e-04 5.000000e-03)
2             	yPlus         	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)	0.000000e+00	(7.815126e-03 7.970105e-03 5.000000e-03)
3             	mag(U)        	0.000000e+00	(7.000970e-03 7.139805e-03 5.000000e-03)	2.116927e-01	(-1.095845e-04 1.116184e-02 5.000000e-03)
