# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.500000e-01
# lRef        : 2.000000e-04
# Aref        : 2.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.370280e+03	6.911554e+02	6.791249e+02	-2.406101e-01	-1.197066e-01	-1.209035e-01	5.984354e-04	6.015239e+00	3.425693e+04	-8.984404e-20	3.425693e+04	-3.425693e+04
2             	1.840959e+02	7.711922e+01	1.069767e+02	5.971501e-01	2.970091e-01	3.001410e-01	-1.565933e-03	-1.492872e+01	4.602386e+03	-1.246318e-20	4.602386e+03	-4.602386e+03
3             	4.631034e+01	1.127798e+01	3.503236e+01	4.750888e-01	2.367174e-01	2.383714e-01	-8.270465e-04	-1.187719e+01	1.157756e+03	1.902701e-20	1.157756e+03	-1.157756e+03
4             	2.018585e+01	1.880267e+01	1.383179e+00	-3.483905e-01	-1.738241e-01	-1.745664e-01	3.711793e-04	8.709744e+00	5.046450e+02	6.552247e-21	5.046450e+02	-5.046450e+02
5             	1.420193e+01	1.657812e+01	-2.376192e+00	-3.790870e-01	-1.883893e-01	-1.906978e-01	1.154260e-03	9.477155e+00	3.550473e+02	5.300362e-21	3.550473e+02	-3.550473e+02
6             	1.330494e+01	1.182883e+01	1.476112e+00	-2.070548e-01	-1.026538e-01	-1.044009e-01	8.735442e-04	5.176358e+00	3.326227e+02	6.337509e-21	3.326227e+02	-3.326227e+02
7             	1.290880e+01	7.098010e+00	5.810791e+00	-2.574443e-02	-1.254939e-02	-1.319504e-02	3.228259e-04	6.436093e-01	3.227193e+02	7.431815e-21	3.227193e+02	-3.227193e+02
8             	1.208394e+01	4.409490e+00	7.674449e+00	6.529932e-02	3.259155e-02	3.270777e-02	-5.810948e-05	-1.632479e+00	3.020978e+02	4.126935e-21	3.020978e+02	-3.020978e+02
9             	1.098348e+01	3.709690e+00	7.273792e+00	7.128221e-02	3.541583e-02	3.586638e-02	-2.252772e-04	-1.782051e+00	2.745864e+02	4.039813e-21	2.745864e+02	-2.745864e+02
10            	1.007641e+01	4.351266e+00	5.725141e+00	2.747756e-02	1.347029e-02	1.400727e-02	-2.684877e-04	-6.869374e-01	2.519096e+02	3.505417e-21	2.519096e+02	-2.519096e+02
11            	9.289617e+00	4.583565e+00	4.706053e+00	2.449758e-03	9.675662e-04	1.482191e-03	-2.573126e-04	-6.124380e-02	2.322399e+02	3.642775e-21	2.322399e+02	-2.322399e+02
12            	8.726756e+00	4.807803e+00	3.918952e+00	-1.777706e-02	-9.107575e-03	-8.669483e-03	-2.190457e-04	4.444255e-01	2.181684e+02	4.025749e-21	2.181684e+02	-2.181684e+02
13            	8.318376e+00	4.456881e+00	3.861496e+00	-1.190772e-02	-6.135666e-03	-5.772059e-03	-1.818035e-04	2.976925e-01	2.079589e+02	5.331222e-21	2.079589e+02	-2.079589e+02
14            	8.081738e+00	4.329667e+00	3.752071e+00	-1.155194e-02	-5.937007e-03	-5.614935e-03	-1.610361e-04	2.887979e-01	2.020430e+02	5.676195e-21	2.020430e+02	-2.020430e+02
15            	7.874814e+00	3.945016e+00	3.929799e+00	-3.043445e-04	-3.042304e-04	-1.141652e-07	-1.520581e-04	7.608596e-03	1.968699e+02	6.095586e-21	1.968699e+02	-1.968699e+02
16            	7.719578e+00	3.845167e+00	3.874411e+00	5.848935e-04	1.421828e-04	4.427107e-04	-1.502640e-04	-1.462231e-02	1.929890e+02	6.158874e-21	1.929890e+02	-1.929890e+02
17            	7.568425e+00	3.645483e+00	3.922942e+00	5.549202e-03	2.628112e-03	2.921090e-03	-1.464889e-04	-1.387297e-01	1.892102e+02	6.101552e-21	1.892102e+02	-1.892102e+02
18            	7.443910e+00	3.665885e+00	3.778025e+00	2.242817e-03	9.816606e-04	1.261156e-03	-1.397479e-04	-5.607030e-02	1.860973e+02	5.934173e-21	1.860973e+02	-1.860973e+02
19            	7.337684e+00	3.604855e+00	3.732829e+00	2.559480e-03	1.102338e-03	1.457142e-03	-1.774018e-04	-6.398686e-02	1.834417e+02	5.738975e-21	1.834417e+02	-1.834417e+02
20            	7.217720e+00	3.573328e+00	3.644393e+00	1.421309e-03	4.987051e-04	9.226036e-04	-2.119493e-04	-3.553264e-02	1.804426e+02	5.691748e-21	1.804426e+02	-1.804426e+02
21            	7.096941e+00	3.519239e+00	3.577702e+00	1.169274e-03	3.632004e-04	8.060741e-04	-2.214368e-04	-2.923180e-02	1.774231e+02	5.463035e-21	1.774231e+02	-1.774231e+02
22            	6.996083e+00	3.492110e+00	3.503972e+00	2.372430e-04	-8.809571e-05	3.253387e-04	-2.067172e-04	-5.931062e-03	1.749017e+02	5.347357e-21	1.749017e+02	-1.749017e+02
23            	6.905171e+00	3.470916e+00	3.434254e+00	-7.332425e-04	-5.451183e-04	-1.881241e-04	-1.784971e-04	1.833102e-02	1.726289e+02	5.053718e-21	1.726289e+02	-1.726289e+02
24            	6.827525e+00	3.449571e+00	3.377955e+00	-1.432324e-03	-8.673953e-04	-5.649291e-04	-1.512331e-04	3.580803e-02	1.706877e+02	4.974778e-21	1.706877e+02	-1.706877e+02
25            	6.752460e+00	3.423428e+00	3.329032e+00	-1.887925e-03	-1.076114e-03	-8.118107e-04	-1.321516e-04	4.719801e-02	1.688111e+02	4.858867e-21	1.688111e+02	-1.688111e+02
26            	6.682926e+00	3.385287e+00	3.297639e+00	-1.752961e-03	-9.988833e-04	-7.540776e-04	-1.224028e-04	4.382392e-02	1.670728e+02	4.870633e-21	1.670728e+02	-1.670728e+02
27            	6.615752e+00	3.345770e+00	3.269982e+00	-1.515747e-03	-8.762211e-04	-6.395262e-04	-1.183475e-04	3.789360e-02	1.653934e+02	4.878383e-21	1.653934e+02	-1.653934e+02
28            	6.554454e+00	3.307063e+00	3.247390e+00	-1.193459e-03	-7.083402e-04	-4.851186e-04	-1.116108e-04	2.983640e-02	1.638610e+02	5.006997e-21	1.638610e+02	-1.638610e+02
29            	6.469200e+00	3.148335e+00	3.320865e+00	3.450594e-03	1.679504e-03	1.771090e-03	-4.579269e-05	-8.626466e-02	1.617296e+02	5.757683e-21	1.617296e+02	-1.617296e+02
