# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	3.066240e-02	1	1.000000e+00	3.165880e-02	1	false	GAMG	1.000000e+00	9.291270e-02	11	true
2             	smoothSolver	3.014330e-01	9.302620e-03	1	3.307420e-01	1.038110e-02	1	false	GAMG	7.431490e-02	6.052970e-03	9	true
3             	smoothSolver	4.884890e-02	1.460400e-03	1	4.499640e-02	1.356390e-03	1	false	GAMG	1.591350e-01	1.171820e-02	5	true
4             	smoothSolver	2.298580e-02	6.827020e-04	1	2.007960e-02	5.955780e-04	1	false	GAMG	3.301120e-01	1.982030e-02	4	true
5             	smoothSolver	1.663490e-02	4.912750e-04	1	1.443970e-02	4.274010e-04	1	false	GAMG	2.966820e-01	2.916680e-02	3	true
6             	smoothSolver	1.306600e-02	3.779690e-04	1	1.198180e-02	3.495760e-04	1	false	GAMG	2.692280e-01	2.459840e-02	3	true
7             	smoothSolver	1.081450e-02	3.098440e-04	1	8.704310e-03	2.523850e-04	1	false	GAMG	2.864680e-01	2.236970e-02	3	true
8             	smoothSolver	8.251520e-03	2.351750e-04	1	7.374830e-03	2.114470e-04	1	false	GAMG	3.226960e-01	2.946330e-02	3	true
9             	smoothSolver	7.193130e-03	2.033480e-04	1	6.894160e-03	1.968460e-04	1	false	GAMG	3.786680e-01	2.543300e-02	3	true
10            	smoothSolver	7.084930e-03	1.994730e-04	1	6.076690e-03	1.714920e-04	1	false	GAMG	3.731350e-01	2.075030e-02	3	true
11            	smoothSolver	6.235430e-03	1.750090e-04	1	5.947910e-03	1.684060e-04	1	false	GAMG	3.642740e-01	2.025190e-02	3	true
12            	smoothSolver	5.932880e-03	1.656010e-04	1	5.198350e-03	1.457750e-04	1	false	GAMG	3.821300e-01	1.868490e-02	3	true
13            	smoothSolver	5.294040e-03	1.477620e-04	1	4.875950e-03	1.366330e-04	1	false	GAMG	4.050960e-01	2.113690e-02	3	true
14            	smoothSolver	4.899400e-03	1.366880e-04	1	4.567400e-03	1.270180e-04	1	false	GAMG	4.500710e-01	2.211200e-02	3	true
15            	smoothSolver	4.609050e-03	1.287200e-04	1	4.293170e-03	1.195390e-04	1	false	GAMG	4.258760e-01	1.914270e-02	3	true
16            	smoothSolver	4.311260e-03	1.202150e-04	1	4.075240e-03	1.130280e-04	1	false	GAMG	3.970970e-01	1.704210e-02	3	true
17            	smoothSolver	4.153380e-03	1.153290e-04	1	3.862850e-03	1.071860e-04	1	false	GAMG	3.862500e-01	1.479050e-02	3	true
