# y+ ()       
# Time        	patch         	min           	max           	average       
100           	hole	3.396145e-01	1.135170e+00	8.715717e-01
200           	hole	2.325933e-01	1.023296e+00	7.732475e-01
300           	hole	1.676435e-01	9.479297e-01	7.044676e-01
400           	hole	1.195378e-01	8.980093e-01	6.538208e-01
500           	hole	7.896054e-02	8.649458e-01	6.151281e-01
600           	hole	4.394194e-02	8.428832e-01	5.846185e-01
700           	hole	5.637252e-02	8.278503e-01	5.602020e-01
800           	hole	7.294328e-02	8.173877e-01	5.400492e-01
900           	hole	8.323634e-02	8.098005e-01	5.230187e-01
1000          	hole	8.443327e-02	8.040195e-01	5.085418e-01
1100          	hole	6.996646e-02	7.993667e-01	4.966197e-01
1200          	hole	5.032618e-02	7.953724e-01	4.876905e-01
1300          	hole	2.848851e-02	7.918289e-01	4.815605e-01
1400          	hole	3.531042e-02	7.885262e-01	4.775175e-01
1500          	hole	4.924934e-02	7.854024e-01	4.744857e-01
1600          	hole	5.963415e-02	7.824727e-01	4.719553e-01
1700          	hole	6.554907e-02	7.796973e-01	4.697361e-01
1800          	hole	6.833825e-02	7.770553e-01	4.677266e-01
1900          	hole	7.104697e-02	7.745493e-01	4.658697e-01
1925          	hole	7.134987e-02	7.739444e-01	4.654252e-01
