# Region type : patch Xmax
# Faces         : 120
# Area          : 4.00000000e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0120735       	6.00000000e-06
0.0267142       	6.00000000e-06
0.0422222       	6.00000000e-06
0.0582258       	6.00000000e-06
0.0745902       	6.00000000e-06
0.0911667       	6.00000000e-06
0.107966        	6.00000000e-06
0.124915        	6.00000000e-06
0.141864        	6.00000000e-06
0.158966        	6.00000000e-06
0.176207        	6.00000000e-06
0.193448        	6.00000000e-06
0.21069         	6.00000000e-06
0.227931        	6.00000000e-06
0.245172        	6.00000000e-06
0.262414        	6.00000000e-06
0.279655        	6.00000000e-06
0.296897        	6.00000000e-06
