# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.00011236    	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.183353e-01	(-1.128672e-05 -1.149643e-03 5.000000e-04)
0.00011236    	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	1.500000e-01	(7.202230e-04 7.345054e-04 5.000000e-04)
0.00011236    	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.00011236    	p             	-1.470871e+00	(1.028647e-03 1.009888e-05 5.000000e-04)	1.825401e+00	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.00011236    	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
# ===         
# Time        	field         	min           	location(min) 	max           	location(max) 
0.000203072   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.554463e-01	(-1.128672e-05 1.149643e-03 5.000000e-04)
0.000203072   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.183353e-01	(-1.128672e-05 -1.149643e-03 5.000000e-04)
0.000203072   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.624607e-08	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000203072   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.610936e+00	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000203072   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.812304e-11	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000203072   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.939792e+02	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000203072   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000203072   	p             	-2.736052e-01	(-1.028249e-03 3.029330e-05 5.000000e-04)	1.841888e-01	(1.028647e-03 1.009888e-05 5.000000e-04)
0.000203072   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000282722   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.478159e-01	(-1.193573e-05 -1.215715e-03 5.000000e-04)
0.000282722   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.554463e-01	(-1.128672e-05 1.149643e-03 5.000000e-04)
0.000282722   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	5.381859e-09	(-9.960510e-04 8.823810e-05 5.000000e-04)
0.000282722   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	2.391937e-01	(-9.960510e-04 8.823810e-05 5.000000e-04)
0.000282722   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	2.699575e-12	(-9.745680e-04 2.238770e-04 5.000000e-04)
0.000282722   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	5.868641e+01	(-9.745680e-04 2.238770e-04 5.000000e-04)
0.000282722   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000282722   	p             	-9.642726e-02	(1.017564e-03 1.509412e-04 5.000000e-04)	1.502696e-01	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.000282722   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000366491   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.472901e-01	(-1.193573e-05 1.215715e-03 5.000000e-04)
0.000366491   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.478159e-01	(-1.193573e-05 -1.215715e-03 5.000000e-04)
0.000366491   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.040355e-09	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000366491   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.351269e-01	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000366491   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.520294e-12	(-9.987475e-04 4.906530e-05 5.000000e-04)
0.000366491   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.304986e+01	(-9.987475e-04 4.906530e-05 5.000000e-04)
0.000366491   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000366491   	p             	-3.988714e-02	(7.380511e-04 -8.815258e-04 5.000000e-04)	4.823548e-02	(-1.149200e-03 -3.385673e-05 5.000000e-04)
0.000366491   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000452505   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.439596e-01	(-1.193573e-05 -1.215715e-03 5.000000e-04)
0.000452505   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.472901e-01	(-1.193573e-05 1.215715e-03 5.000000e-04)
0.000452505   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.024232e-09	(-2.944675e-05 9.995180e-04 5.000000e-04)
0.000452505   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	4.552143e-02	(-2.944675e-05 9.995180e-04 5.000000e-04)
0.000452505   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	9.735127e-13	(-8.823810e-05 9.960510e-04 5.000000e-04)
0.000452505   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	2.116332e+01	(-8.823810e-05 9.960510e-04 5.000000e-04)
0.000452505   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000452505   	p             	-4.220194e-02	(7.202230e-04 -7.345054e-04 5.000000e-04)	6.263378e-02	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.000452505   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000540096   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.434177e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000540096   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.439596e-01	(-1.193573e-05 -1.215715e-03 5.000000e-04)
0.000540096   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.271600e-09	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000540096   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	5.651555e-02	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000540096   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	8.389519e-13	(6.866495e-05 -9.975915e-04 5.000000e-04)
0.000540096   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.823809e+01	(6.866495e-05 -9.975915e-04 5.000000e-04)
0.000540096   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000540096   	p             	-3.217327e-02	(6.480925e-04 9.496228e-04 5.000000e-04)	4.257784e-02	(-1.149643e-03 -1.128672e-05 5.000000e-04)
0.000540096   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000629341   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.421589e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000629341   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.434177e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000629341   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	8.357581e-10	(1.272745e-04 9.918185e-04 5.000000e-04)
0.000629341   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.714480e-02	(1.272745e-04 9.918185e-04 5.000000e-04)
0.000629341   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	7.677059e-13	(-4.906530e-05 9.987475e-04 5.000000e-04)
0.000629341   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.668926e+01	(-4.906530e-05 9.987475e-04 5.000000e-04)
0.000629341   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000629341   	p             	-3.221966e-02	(5.114305e-04 -8.925567e-04 5.000000e-04)	4.388908e-02	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.000629341   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000720318   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.405868e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000720318   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.421589e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000720318   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	8.890154e-10	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000720318   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.951179e-02	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000720318   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	7.022943e-13	(9.816850e-06 -9.999035e-04 5.000000e-04)
0.000720318   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.526727e+01	(9.816850e-06 -9.999035e-04 5.000000e-04)
0.000720318   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000720318   	p             	-2.961130e-02	(4.649290e-04 9.830093e-04 5.000000e-04)	3.472538e-02	(-1.087360e-03 -1.067582e-05 5.000000e-04)
0.000720318   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000813115   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.385678e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000813115   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.405868e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000813115   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	7.587579e-10	(1.854430e-04 9.826060e-04 5.000000e-04)
0.000813115   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.372257e-02	(1.854430e-04 9.826060e-04 5.000000e-04)
0.000813115   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	6.613335e-13	(-2.944675e-05 9.995180e-04 5.000000e-04)
0.000813115   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.437682e+01	(-2.944675e-05 9.995180e-04 5.000000e-04)
0.000813115   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000813115   	p             	-2.945583e-02	(4.214822e-04 -9.383878e-04 5.000000e-04)	3.691848e-02	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.000813115   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000907825   	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.378924e-01	(1.335357e-05 -1.360154e-03 5.000000e-04)
0.000907825   	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.385678e-01	(-1.262387e-05 -1.285805e-03 5.000000e-04)
0.000907825   	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	7.462526e-10	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000907825   	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.316678e-02	(-9.999035e-04 9.816850e-06 5.000000e-04)
0.000907825   	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	6.215134e-13	(-9.816850e-06 -9.999035e-04 5.000000e-04)
0.000907825   	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.351116e+01	(-9.816850e-06 -9.999035e-04 5.000000e-04)
0.000907825   	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.000907825   	p             	-2.758353e-02	(3.274745e-04 9.751829e-04 5.000000e-04)	3.196079e-02	(-1.087360e-03 -1.067582e-05 5.000000e-04)
0.000907825   	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
0.00100353    	mag(U)        	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.371148e-01	(1.335357e-05 -1.360154e-03 5.000000e-04)
0.00100353    	mag(U_0)      	0.000000e+00	(7.000970e-04 7.139805e-04 5.000000e-04)	2.378924e-01	(1.335357e-05 -1.360154e-03 5.000000e-04)
0.00100353    	mag(force)    	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	7.043499e-10	(1.854430e-04 9.826060e-04 5.000000e-04)
0.00100353    	mag(forceCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	3.130444e-02	(1.854430e-04 9.826060e-04 5.000000e-04)
0.00100353    	mag(moment)   	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	5.945160e-13	(-4.906530e-05 9.987475e-04 5.000000e-04)
0.00100353    	mag(momentCoeff)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	1.292426e+01	(-4.906530e-05 9.987475e-04 5.000000e-04)
0.00100353    	nu            	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)	1.500000e-05	(7.202230e-04 7.345054e-04 5.000000e-04)
0.00100353    	p             	-2.794291e-02	(3.843159e-04 -9.542118e-04 5.000000e-04)	3.275387e-02	(-1.028647e-03 1.009888e-05 5.000000e-04)
0.00100353    	yPlus         	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)	0.000000e+00	(7.202230e-04 7.345054e-04 5.000000e-04)
