# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.500000e-01
# lRef        : 2.000000e-06
# Aref        : 2.000000e-06
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00011236    	2.436103e+02	1.233480e+02	1.202623e+02	-6.308668e-03	-2.673176e-03	-3.635492e-03	4.811582e-04	1.542881e+00	5.957861e+04	7.791560e-20	5.957861e+04	-5.957861e+04
0.000203072   	-2.378610e+01	-1.576354e+01	-8.022559e+00	1.582600e-02	1.189507e-02	3.930931e-03	3.982070e-03	-3.870490e+00	-5.817252e+03	-3.148671e-20	-5.817252e+03	5.817252e+03
0.000282722   	2.522590e+01	1.476673e+01	1.045917e+01	-8.806554e-03	-7.356126e-03	-1.450428e-03	-2.952849e-03	2.153777e+00	6.169378e+03	3.351468e-21	6.169378e+03	-6.169378e+03
0.000366491   	6.940003e+00	1.625482e+00	5.314521e+00	7.542037e-03	3.976841e-03	3.565195e-03	2.058230e-04	-1.844520e+00	1.697283e+03	-6.284104e-21	1.697283e+03	-1.697283e+03
0.000452505   	1.263225e+01	8.262036e+00	4.370213e+00	-7.956615e-03	-6.061429e-03	-1.895186e-03	-2.083122e-03	1.945911e+00	3.089409e+03	-2.830113e-21	3.089409e+03	-3.089409e+03
0.000540096   	7.759272e+00	2.473173e+00	5.286099e+00	5.750869e-03	1.944800e-03	3.806069e-03	-9.306341e-04	-1.406463e+00	1.897648e+03	-4.474765e-21	1.897648e+03	-1.897648e+03
0.000629341   	9.127262e+00	7.337593e+00	1.789669e+00	-1.134242e-02	-6.809432e-03	-4.532989e-03	-1.138222e-03	2.773962e+00	2.232211e+03	-3.648369e-21	2.232211e+03	-2.232211e+03
0.000720318   	7.245117e+00	-2.077546e-01	7.452872e+00	1.566172e-02	6.987884e-03	8.673840e-03	-8.429781e-04	-3.830313e+00	1.771904e+03	-4.212604e-21	1.771904e+03	-1.771904e+03
0.000813115   	7.639194e+00	6.732806e+00	9.063878e-01	-1.191179e-02	-5.713595e-03	-6.198193e-03	2.422993e-04	2.913209e+00	1.868281e+03	-3.876053e-21	1.868281e+03	-1.868281e+03
0.000907825   	6.671136e+00	1.528906e+00	5.142230e+00	7.387240e-03	3.073123e-03	4.314116e-03	-6.204965e-04	-1.806662e+00	1.631528e+03	-4.131125e-21	1.631528e+03	-1.631528e+03
0.00100353    	6.744955e+00	4.493259e+00	2.251695e+00	-4.582753e-03	-2.173197e-03	-2.409555e-03	1.181789e-04	1.120782e+00	1.649581e+03	-3.954553e-21	1.649581e+03	-1.649581e+03
0.00110027    	6.157902e+00	2.101814e+00	4.056088e+00	3.995405e-03	1.753968e-03	2.241436e-03	-2.437339e-04	-9.771371e-01	1.506009e+03	-4.107020e-21	1.506009e+03	-1.506009e+03
0.00119807    	6.137314e+00	3.717187e+00	2.420126e+00	-2.651769e-03	-1.112264e-03	-1.539505e-03	2.136204e-04	6.485304e-01	1.500974e+03	-3.983529e-21	1.500974e+03	-1.500974e+03
