# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.00011236    	smoothSolver	1.000000e+00	9.110630e-06	23	1.000000e+00	7.812950e-06	24	false	GAMG	1.000000e+00	4.179710e-03	8	true
0.000203072   	smoothSolver	6.675720e-02	8.886120e-06	11	2.865790e-01	9.455840e-06	14	false	GAMG	3.437520e-01	2.481680e-03	7	true
0.000282722   	smoothSolver	3.044650e-02	7.913680e-06	9	1.036420e-01	6.111850e-06	12	false	GAMG	5.874570e-01	3.047580e-03	6	true
0.000366491   	smoothSolver	8.354100e-03	8.532050e-06	8	3.130850e-02	6.740450e-06	9	false	GAMG	7.265310e-01	7.162520e-03	4	true
0.000452505   	smoothSolver	1.597150e-03	7.962400e-06	7	7.683440e-03	6.469210e-06	10	false	GAMG	9.216190e-01	5.959360e-03	3	true
0.000540096   	smoothSolver	2.390910e-03	8.792360e-06	7	1.032770e-02	5.272980e-06	8	false	GAMG	8.182980e-01	4.480060e-03	3	true
0.000629341   	smoothSolver	1.529120e-03	5.578480e-06	7	8.092410e-03	7.365480e-06	9	false	GAMG	8.390600e-01	4.544940e-03	2	true
0.000720318   	smoothSolver	1.420280e-03	6.364710e-06	7	7.296050e-03	7.206190e-06	8	false	GAMG	7.686170e-01	6.700070e-03	2	true
0.000813115   	smoothSolver	1.207270e-03	8.664060e-06	6	6.841080e-03	6.106310e-06	9	false	GAMG	7.268170e-01	4.842600e-03	3	true
0.000907825   	smoothSolver	1.096490e-03	9.244450e-06	6	6.291600e-03	7.996020e-06	8	false	GAMG	6.626030e-01	3.503930e-03	3	true
0.00100353    	smoothSolver	9.935280e-04	7.592880e-06	6	6.009140e-03	9.394930e-06	8	false	GAMG	5.937480e-01	3.208240e-03	3	true
0.00110027    	smoothSolver	9.157350e-04	7.603100e-06	6	5.642940e-03	7.826610e-06	8	false	GAMG	5.244050e-01	4.347610e-03	2	true
0.00119807    	smoothSolver	8.419120e-04	6.686400e-06	6	5.410690e-03	8.466100e-06	8	false	GAMG	4.412310e-01	2.703860e-03	3	true
0.00129697    	smoothSolver	7.990160e-04	6.569400e-06	6	5.216010e-03	7.561190e-06	8	false	GAMG	3.765960e-01	2.956860e-03	3	true
0.001397      	smoothSolver	7.470120e-04	6.020320e-06	6	5.039380e-03	7.856320e-06	8	false	GAMG	2.971630e-01	2.658190e-03	3	true
0.00149821    	smoothSolver	7.110430e-04	5.892630e-06	6	4.855120e-03	7.382230e-06	8	false	GAMG	2.518170e-01	1.408630e-03	4	true
0.00160064    	smoothSolver	6.761920e-04	9.621120e-06	5	4.755330e-03	7.514350e-06	8	false	GAMG	1.927320e-01	1.028470e-03	5	true
0.00170434    	smoothSolver	6.421670e-04	9.445220e-06	5	4.562260e-03	7.242690e-06	8	false	GAMG	1.646720e-01	1.492500e-03	4	true
0.00180935    	smoothSolver	6.165600e-04	9.017050e-06	5	4.479890e-03	7.354360e-06	8	false	GAMG	1.269350e-01	7.509590e-04	5	true
0.00191436    	smoothSolver	5.878840e-04	8.462490e-06	5	4.319350e-03	6.812910e-06	8	false	GAMG	1.095570e-01	7.141760e-04	5	true
0.00202075    	smoothSolver	5.677880e-04	8.192610e-06	5	4.247000e-03	6.908800e-06	8	false	GAMG	8.608160e-02	6.722940e-04	5	true
0.00212857    	smoothSolver	5.505560e-04	8.058930e-06	5	4.165710e-03	6.874530e-06	8	false	GAMG	7.990070e-02	6.516170e-04	5	true
0.0022364     	smoothSolver	5.268700e-04	7.530060e-06	5	4.051300e-03	6.567300e-06	8	false	GAMG	6.403880e-02	5.754600e-04	5	true
0.00234575    	smoothSolver	5.137220e-04	7.436130e-06	5	3.997560e-03	6.597440e-06	8	false	GAMG	6.366930e-02	5.904750e-04	5	true
0.00245509    	smoothSolver	4.936480e-04	6.989610e-06	5	3.893950e-03	6.302770e-06	8	false	GAMG	5.327120e-02	5.241320e-04	5	true
0.00256605    	smoothSolver	4.834580e-04	6.934630e-06	5	3.854000e-03	6.381780e-06	8	false	GAMG	5.483810e-02	5.477030e-04	5	true
