# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.500000e+00
# lRef        : 2.000000e-08
# Aref        : 2.000000e-08
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.19332e-06   	2.314463e+02	1.164301e+02	1.150162e+02	-9.111825e-04	-1.264124e-03	3.529415e-04	-8.085327e-04	7.069520e-01	1.795704e+05	-8.483342e-20	1.795704e+05	-1.795704e+05
2.11193e-06   	-2.232893e+01	-1.564186e+01	-6.687063e+00	5.770870e-03	1.690452e-02	-1.113365e-02	1.401909e-02	-4.477399e+00	-1.732417e+04	3.393212e-20	-1.732417e+04	1.732417e+04
2.91498e-06   	2.455033e+01	1.520050e+01	9.349829e+00	-3.770434e-03	-1.297743e-02	9.207000e-03	-1.109222e-02	2.925337e+00	1.904767e+04	-4.369064e-21	1.904767e+04	-1.904767e+04
3.75892e-06   	6.855820e+00	-3.237152e-01	7.179535e+00	4.835428e-03	3.400317e-03	1.435111e-03	9.826028e-04	-3.751625e+00	5.319171e+03	6.455921e-21	5.319171e+03	-5.319171e+03
4.62952e-06   	1.242211e+01	1.134533e+01	1.076786e+00	-6.617505e-03	-9.925508e-03	3.308003e-03	-6.616756e-03	5.134271e+00	9.637847e+03	2.559424e-21	9.637847e+03	-9.637847e+03
5.51569e-06   	7.410282e+00	-3.290547e+00	1.070083e+01	9.016663e-03	1.884144e-03	7.132519e-03	-2.624187e-03	-6.995687e+00	5.749357e+03	4.559961e-21	5.749357e+03	-5.749357e+03
6.41476e-06   	9.147953e+00	1.701080e+01	-7.862851e+00	-1.602969e-02	-9.691644e-03	-6.338044e-03	-1.676800e-03	1.243683e+01	7.097550e+03	3.405519e-21	7.097550e+03	-7.097550e+03
7.3305e-06    	7.085667e+00	-4.938379e+00	1.202405e+01	1.093134e-02	6.449574e-03	4.481767e-03	9.839038e-04	-8.481213e+00	5.497501e+03	4.195280e-21	5.497501e+03	-5.497501e+03
8.26536e-06   	7.565423e+00	1.057652e+01	-3.011102e+00	-8.756470e-03	-7.554514e-04	-8.001019e-03	3.622784e-03	6.793814e+00	5.869725e+03	3.738915e-21	5.869725e+03	-5.869725e+03
9.21833e-06   	6.526109e+00	-3.825952e+00	1.035206e+01	9.136942e-03	6.010931e-03	3.126010e-03	1.442460e-03	-7.089007e+00	5.063361e+03	4.101734e-21	5.063361e+03	-5.063361e+03
