# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	hole	4.727199e-02	1.142917e+00	6.402665e-01
1             	hole	6.215395e-02	1.096627e+00	5.866572e-01
1.5           	hole	5.327736e-02	1.076345e+00	5.577650e-01
2             	hole	6.963981e-02	1.064555e+00	5.407180e-01
2.5           	hole	6.226728e-02	1.057484e+00	5.304055e-01
3             	hole	5.314274e-02	1.052976e+00	5.242653e-01
3.5           	hole	4.762942e-02	1.049958e+00	5.206392e-01
4             	hole	4.448221e-02	1.047853e+00	5.184711e-01
4.5           	hole	4.271468e-02	1.046348e+00	5.171382e-01
5             	hole	4.114502e-02	1.045269e+00	5.163045e-01
5.5           	hole	3.969840e-02	1.044494e+00	5.157682e-01
6             	hole	3.862338e-02	1.043911e+00	5.153999e-01
6.5           	hole	3.875248e-02	1.043453e+00	5.151318e-01
7             	hole	3.938884e-02	1.043081e+00	5.149373e-01
7.5           	hole	3.415498e-02	1.042898e+00	5.148268e-01
8             	hole	3.674042e-02	1.043249e+00	5.149319e-01
8.5           	hole	3.688189e-02	1.045181e+00	5.157707e-01
9             	hole	2.445321e-02	1.052096e+00	5.191423e-01
9.5           	hole	3.628454e-02	1.067652e+00	5.284232e-01
10            	hole	2.385275e-02	1.083682e+00	5.389170e-01
10.5          	hole	3.087972e-02	1.092996e+00	5.465572e-01
11            	hole	2.815094e-02	1.103281e+00	5.507563e-01
11.5          	hole	5.356978e-02	1.123937e+00	5.740510e-01
12            	hole	2.942577e-02	1.120899e+00	5.724802e-01
12.5          	hole	3.503060e-02	1.157201e+00	6.080783e-01
13            	hole	5.842765e-02	1.147402e+00	6.000787e-01
13.5          	hole	2.058153e-02	1.181473e+00	6.318892e-01
14            	hole	3.700956e-02	1.168104e+00	6.194218e-01
14.5          	hole	4.462270e-02	1.188968e+00	6.383835e-01
15            	hole	5.171361e-02	1.178536e+00	6.290792e-01
15.5          	hole	3.972381e-02	1.187985e+00	6.364593e-01
16            	hole	1.731749e-02	1.184472e+00	6.345396e-01
16.5          	hole	5.282897e-02	1.184368e+00	6.315309e-01
17            	hole	4.703969e-02	1.188814e+00	6.389610e-01
17.5          	hole	2.945751e-02	1.179754e+00	6.247401e-01
18            	hole	3.723434e-02	1.192325e+00	6.424082e-01
18.5          	hole	5.473040e-02	1.174610e+00	6.161147e-01
19            	hole	3.975994e-02	1.195188e+00	6.453703e-01
19.5          	hole	3.272718e-02	1.169064e+00	6.032416e-01
20            	hole	1.506252e-02	1.197447e+00	6.474579e-01
20.5          	hole	3.181232e-02	1.163228e+00	6.001251e-01
21            	hole	4.639853e-02	1.199015e+00	6.492018e-01
21.5          	hole	3.030359e-02	1.157180e+00	6.014955e-01
22            	hole	3.789472e-02	1.199870e+00	6.499994e-01
22.5          	hole	3.455662e-02	1.151011e+00	6.056201e-01
23            	hole	3.787977e-02	1.199994e+00	6.501388e-01
23.5          	hole	3.875734e-02	1.156928e+00	6.100458e-01
24            	hole	4.119750e-02	1.199382e+00	6.494395e-01
24.5          	hole	4.750308e-02	1.162857e+00	6.148595e-01
25            	hole	5.700033e-02	1.198035e+00	6.480547e-01
25.5          	hole	2.352257e-02	1.168590e+00	6.197008e-01
26            	hole	4.139647e-02	1.195974e+00	6.457056e-01
26.5          	hole	4.480664e-02	1.174001e+00	6.245943e-01
27            	hole	4.211389e-02	1.193209e+00	6.425640e-01
27.5          	hole	2.952972e-02	1.179064e+00	6.293754e-01
28            	hole	3.461531e-02	1.189795e+00	6.384662e-01
28.5          	hole	3.925452e-02	1.183694e+00	6.337913e-01
29            	hole	6.083993e-02	1.185770e+00	6.333688e-01
29.5          	hole	5.601808e-02	1.187832e+00	6.379805e-01
30            	hole	1.952698e-02	1.181192e+00	6.268576e-01
